Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,4.18,William Morrow Paperbacks,Paperback,370,2003,1996,,2018/07/24,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
6184241,Everything Matters!,Ron Currie Jr.,"Jr., Ron Currie",,"=""0670020923""","=""9780670020928""",4,4.05,Viking Adult,Hardcover,320,2009,2009,,2018/07/24,,,read,,,,1,,,0,,,,,
11590,'Salem's Lot,Stephen King,"King, Stephen",,"=""0450031063""","=""9780450031069""",4,4.01,New English Library,Paperback,483,1991,1975,,2018/07/24,,,read,,,,1,,,0,,,,,
144791,"Seven Deadly Wonders (Jack West Jr, #1)",Matthew Reilly,"Reilly, Matthew",,"=""1416505067""","=""9781416505068""",3,4.08,Pocket Books,Mass Market Paperback,544,2006,2005,,2018/07/24,,,read,,,,1,,,0,,,,,
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",4,3.67,Crown,Hardcover,305,2017,2017,,2018/07/24,,,read,,,,1,,,0,,,,,
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",5,4.28,Gollancz,Trade Paperback,536,2008,2008,,2018/07/24,,,read,,,,1,,,0,,,,,
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",4,4.29,Gollancz,Trade Paperback,441,2007,2007,,2018/07/24,,,read,,,,1,,,0,,,,,
13521459,"Red Country (First Law World, #6)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316214442""","=""9780316214445""",4,4.29,Orbit,ebook,469,2012,2012,,2018/07/24,,,read,,,,1,,,0,,,,,
9300768,"The Heroes (First Law World, #5)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",3,4.29,Orbit,ebook,581,2011,2011,,2018/07/24,,,read,,,,1,,,0,,,,,
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",4,4.18,Gollancz,Hardcover,534,2009,2009,,2018/07/24,,,read,,,,1,,,0,,,,,
26030742,"Sharp Ends (First Law World, #7)",Joe Abercrombie,"Abercrombie, Joe",,"=""031639081X""","=""9780316390811""",4,4.16,Orbit,Hardcover,304,2016,2016,,2018/07/24,,,read,,,,1,,,0,,,,,
18966806,"Morning Star (Red Rising, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",4,4.49,Del Rey,Hardcover,524,2016,2016,,2018/07/24,,,read,,,,1,,,0,,,,,
9597,Player Piano,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385333781""","=""9780385333788""",3,3.87,Dial Press,Paperback,341,2006,1952,,2018/07/24,,,read,,,,1,,,0,,,,,
35128447,Infinite,Jeremy Robinson,"Robinson, Jeremy",,"=""""","=""""",5,3.97,Breakneck Media,Kindle Edition,400,2017,2017,,2018/07/24,,,read,,,,1,,,0,,,,,
25499718,Children of Time (Children of Time #1),Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",5,4.30,PanMacmillan,Hardcover,600,2015,2015,,2018/07/24,,,read,,,,1,,,0,,,,,
21155517,Nickel Fictions: 50 Exceedingly Brief Stories,Bob Thurber,"Thurber, Bob",,"=""""","=""""",0,3.62,,Kindle Edition,85,2013,2011,,2018/07/15,"to-read, shelved","to-read (#3), shelved (#1)",to-read,,,,0,,,0,,,,,
21425079,"Golden Son (Red Rising, #2)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.45,Del Rey,Kindle Edition,465,2015,2015,2018/06/21,2018/06/05,,,read,,,,1,,,0,,,,,
18046624,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.27,Del Rey,Kindle Edition,400,2014,2014,2018/06/05,2018/06/01,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.45,Bantam,Mass Market Paperback,848,2005,1996,,2013/09/17,,,read,,,,1,,,0,,,,,
6605316,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.45,Tor Books,Kindle Edition,676,2010,2006,,2017/12/04,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",4,4.13,Knopf,Hardcover,465,2008,2005,,2013/09/17,,,read,,,,1,,,0,,,,,
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""""","=""""",4,3.91,Riverhead Books,Hardcover,323,2015,2015,,2017/11/14,,,read,,,,1,,,0,,,,,
5907,The Hobbit or There and Back Again,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",2,4.27,Houghton Mifflin,Paperback,366,2002,1937,,2013/09/17,,,read,,,,1,,,0,,,,,
