eventID,AfterInhMATRIX5,PrescaleMATRIX5,RawMATRIX4,RawTriggers,label
435547,50327,21,3379828,12766867,1
435548,49269,21,3353413,12653057,1
435553,58851,24,4032484,13404107,3
435554,37799,15,3057092,11752570,4
435555,53531,23,3501898,12910504,5
435556,52856,21,3225516,13113544,6
435557,54551,23,3334749,13072825,7
435558,46847,19,3581296,12564212,6
435559,37327,16,3128668,11754542,4
435560,55847,23,3906739,12940937,3
435561,53867,22,4106888,12960550,3
435562,34112,14,3304950,11311330,2
435563,47287,20,3490144,12468287,1
435564,53508,22,3228704,13065838,1
435565,49714,20,3311433,12799279,1
435566,53682,23,3221199,13050407,1
435567,54016,22,3239160,13222394,1
435568,50723,21,3415195,12996547,1
435569,52674,22,3364820,13227615,1
435570,53634,22,3151344,13096039,1
435571,51606,21,3215332,12851288,1
435572,52464,22,3256970,13019053,1
435573,42409,17,2900141,12440360,2
435574,66514,28,3723175,13975463,3
435575,65821,27,3647262,13828919,3
435576,64604,27,3737424,13922827,3
435577,40665,17,2887082,12123489,4
435578,53253,22,3667642,13175003,5
435579,50663,21,3405479,12894357,6
435580,46341,19,3691759,12618051,7
435581,49371,20,3371892,12691910,6
435582,41244,17,2995746,12230493,4
435583,61629,26,3869537,13611408,3
435585,39809,16,3006550,12094257,2
435586,49192,21,3390409,12734129,1
435587,52511,21,3346436,13059944,1
435588,49459,21,3462327,12910846,1
435589,52509,21,3294826,13095778,1
435590,53394,22,3311868,13234804,1
435591,52566,22,3334452,13083908,1
435592,53354,22,3347707,13307351,1
435593,56015,23,3046796,13261756,1
435594,53664,23,3190082,12990463,1
435595,52330,21,3272791,13033249,1
435596,40585,17,2980797,12267929,2
435597,60329,25,3887532,13478086,3
435598,62659,26,3740795,13570345,3
435599,56780,23,3917425,13075804,3
435600,38644,16,3001439,11959559,4
435601,52871,22,3652958,13003803,5
435602,51374,21,3344609,13006283,6
435603,51056,21,3414097,12895802,7
435604,51288,22,3396457,12987338,6
435610,78069,32,3355200,13193345,1
435611,79871,33,3329579,13257563,1
435612,75864,31,3351568,12932305,1
435616,77204,32,3549421,13178454,1
435617,69896,29,3696373,12690513,1
435618,69989,29,3704181,12706608,1
435619,58959,25,3142438,12159596,2
435620,88124,36,3989925,13472733,3
435621,91608,38,3803508,13613609,3
435622,93785,39,3897106,13718076,3
435623,61681,25,2881634,12143198,4
435624,86305,36,3338035,13316423,5
435625,75197,31,3342301,12959781,6
435626,78880,33,3294582,12962817,7
435627,77644,32,3209003,12869639,6
435628,61139,25,2828203,12026291,4
435629,94336,40,3779285,13721784,3
435630,94706,39,3605073,13494801,3
435632,73610,30,3519994,12780951,1
435633,71061,30,3486987,12584331,1
435634,70038,29,3573066,12455636,1
435635,72884,30,3440602,12763420,1
435636,70969,29,3609569,12712076,1
435637,64760,27,3531863,12058629,1
435638,72196,30,3396299,12621580,1
435639,70704,29,3387702,12497848,1
435640,76221,32,3376564,12883350,1
435641,76111,31,3279763,12912174,1
435642,56612,24,3034853,11874823,2
435643,95252,39,3817435,13862147,3
435644,91940,38,3750168,13543933,3
435645,94846,40,3738048,13707605,3
435646,62917,26,2919025,12424810,4
435647,83164,34,3567511,13209694,5
435648,73723,31,3403673,12820353,6
435649,78442,32,3431778,13086672,7
435651,62118,25,2800476,12175478,4
435652,95160,40,3673198,13812346,3
435653,98962,41,3634725,14025739,3
435654,63636,26,2778582,12290460,2
435655,79688,33,3252108,13176959,1
435656,80205,33,3302997,13203989,1
435657,81884,34,3242365,13335719,1
435658,81832,34,3222324,13338072,1
435659,79426,33,3341157,13241972,1
435660,78475,32,3320247,13100581,1
435661,74909,31,3455926,12936699,1
435662,79530,33,3322863,13163161,1
435663,73590,31,3327895,12752062,1
435664,78261,32,3213184,13109545,1
435665,56040,23,2886374,11707941,2
435666,90498,38,3901133,13641545,3
435667,97982,41,3663471,13978352,3
435668,92292,38,3753928,13641255,3
435669,59297,24,2597261,11699680,4
435670,84736,35,3410296,13359436,5
435671,73453,31,3362420,12834462,6
435672,77594,32,3424189,12997597,7
435673,70488,29,3469154,12614669,6
435674,62435,26,2912641,12412261,4
435675,102258,42,3669351,14220224,3
435676,100882,42,3655003,14118599,3
435677,64928,27,2882863,12474574,2
435678,79882,33,3209306,13155191,1
435679,78899,33,3335745,13166315,1
435680,79049,33,3345839,13189979,1
435681,80789,33,3160738,13169923,1
435682,80616,33,3248285,13233628,1
435683,81323,34,3141943,13182432,1
435684,79715,33,3316422,13253384,1
435685,80316,33,3145373,13034743,1
